"id","name","now_cost","position","team","points_per_game","ict_index_rank","influence","creativity_rank","goals_scored","points_per_game_rank","threat","influence_rank_type","expected_goals_conceded","in_dreamteam","goals_conceded","news","transfers_in_event","yellow_cards","expected_assists","expected_goals_conceded_per_90","starts","ep_this","direct_freekicks_order","goals_conceded_per_90","expected_assists_per_90","ict_index_rank_type","expected_goals_per_90","chance_of_playing_this_round","bonus","points_per_game_rank_type","news_added","now_cost_rank","expected_goal_involvements","penalties_order","web_name","clean_sheets","transfers_out","selected_rank_type","expected_goals","clean_sheets_per_90","form_rank_type","selected_by_percent","ict_index","transfers_in","expected_goal_involvements_per_90","threat_rank","status","form","value_season","saves_per_90","event_points","influence_rank","assists","dreamteam_count","transfers_out_event","ep_next","total_points","bps","selected_rank","corners_and_indirect_freekicks_order","value_form","creativity_rank_type","now_cost_rank_type","form_rank","saves","red_cards","creativity","threat_rank_type","chance_of_playing_next_round","starts_per_90","minutes"
"267","Andreas Hoelgebaum Pereira","55","MID","Fulham","4","196","0.6","155","0","59","2","90","0.6","false","0","","2596","0","0","1.69","0","1.5","1","0","0","94","0","75","0","20","2023-08-10 15:00:05.473","102","0","2","Andreas","0","3987","53","0","0","20","1.1","0.3","2596","0","133","a","4","0.7","0","4","189","1","0","3987","2.1","4","10","164","1.0","0.7","87","63","59","0","0","0.8","73","100","0","32"
"268","Tom Cairney","50","MID","Fulham","1","157","0.4","80","0","204","3","92","2.13","false","0","","40","0","0.08","3.36","1","1.2","0","0","0.13","73","0.06","75","0","87","2023-08-06 23:30:05.762","166","0.12","0","Cairney","0","83","246","0.04","0","87","0","1.6","40","0.19","111","a","1","0.2","0","1","191","0","0","83","1.6","1","4","605","","0.2","54","104","204","0","0","12.4","62","100","1.58","57"
"269","Ivan Neves Abreu Cavaleiro","50","MID","Fulham","0","524","0","518","0","550","0","195","0","false","0","Permanent transfer to Lille","0","0","0","0","0","0","0","0","0","199","0","0","0","214","2023-08-11 10:50:27.703","208","0","0","I.Cavaleiro","0","280","254","0","0","214","0","0","0","0","506","u","0","0","0","0","520","0","0","280","0","0","0","617","","0","198","134","550","0","0","0","187","0","0","0"
"270","Bobby De Cordova-Reid","55","MID","Fulham","6","22","37.8","141","1","40","46","7","0.6","false","0","","1480","0","0.01","1.2","0","2.1","0","0","0.02","12","2.24","0","0","13","","86","1.13","0","De Cordova-Reid","0","407","134","1.12","0","13","0.1","8.5","1480","2.26","8","a","6","1.1","0","6","18","0","0","407","2.1","6","21","413","","1.1","81","54","40","0","0","1.5","2","0","0","45"
"271","Issa Diop","45","DEF","Fulham","8","92","30.8","153","0","13","0","9","2.73","true","0","","12568","0","0.01","2.73","1","2","0","0","0.01","27","0","0","2","3","","418","0.01","0","Diop","1","775","82","0","1","3","0.5","3.2","12568","0.01","352","a","8","1.8","0","8","32","0","1","775","2","8","30","225","","1.8","51","110","13","0","0","0.9","166","0","1","90"
"272","Tyrese Francois","45","MID","Fulham","0","420","0","413","0","458","0","126","0","false","0","","64","0","0","0","0","1","0","0","0","130","0","0","0","151","","468","0","0","Francois","0","132","209","0","0","151","0","0","64","0","394","a","0","0","0","0","414","0","0","132","1","0","0","548","","0","129","233","458","0","0","0","115","0","0","0"
"273","Anthony Knockaert","45","MID","Fulham","0","328","0","315","0","370","0","98","0","false","0","","201","0","0","0","0","1","0","0","0","102","0","0","0","124","","333","0","0","Knockaert","0","391","146","0","0","124","0.1","0","201","0","283","a","0","0","0","0","323","0","0","391","1","0","0","433","","0","100","201","370","0","0","0","85","0","0","0"
"274","Terence Kongolo","40","DEF","Fulham","0","226","0","209","0","273","0","81","0","false","0","","161","0","0","0","0","1","0","0","0","80","0","0","0","87","","570","0","0","Kongolo","0","402","147","0","0","87","0.2","0","161","0","171","a","0","0","0","0","220","0","0","402","1","0","0","378","","0","77","161","273","0","0","0","54","0","0","0"
"275","Bernd Leno","45","GKP","Fulham","12","28","75","310","0","4","0","1","2.73","true","0","","30909","0","0","2.73","1","2.4","0","0","0","1","0","0","3","1","","326","0","0","Leno","1","4484","10","0","1","1","7.8","7.5","30909","0","277","a","12","2.7","9","12","1","0","1","4484","2.4","12","46","47","","2.7","55","18","4","9","0","0","54","0","1","90"
"276","Saša Lukić","45","MID","Fulham","3","131","8","82","0","64","1","60","2.73","false","0","","7846","0","0.01","2.73","1","1","0","0","0.01","66","0.02","0","0","23","","407","0.03","0","Lukić","1","1763","76","0.02","1","23","0.4","2.1","7846","0.03","143","a","3","0.7","0","3","141","0","0","1763","1","3","15","245","","0.7","55","214","64","0","0","12.1","78","0","1","90"
"277","Kevin Mbabu","40","DEF","Fulham","0","232","0","215","0","279","0","84","0","false","0","","787","0","0","0","0","1","0","0","0","83","0","0","0","90","","576","0","0","Mbabu","0","1328","75","0","0","90","0.6","0","787","0","177","a","0","0","0","0","226","0","0","1328","1","0","0","213","","0","80","164","279","0","0","0","57","0","0","0"
"278","Aleksandar Mitrović","75","FWD","Fulham","1","90","6.4","177","0","248","26","15","0.6","false","0","","7760","0","0.02","1.69","0","2.4","0","0","0.06","14","0.45","0","0","33","","19","0.18","1","Mitrović","0","27188","14","0.16","0","33","4.4","3.3","7760","0.51","36","a","1","0.1","0","1","150","0","0","27188","2.4","1","6","79","","0.1","18","7","248","0","0","0.3","14","0","0","32"
"279","Rodrigo Muniz Carvalho","45","FWD","Fulham","0","408","0","400","0","448","0","28","0","false","0","","796","0","0","0","0","1","0","0","0","31","0","0","0","43","","453","0","0","Muniz","0","1655","42","0","0","43","0.5","0","796","0","381","a","0","0","0","0","402","0","0","1655","1","0","0","227","","0","30","71","448","0","0","0","31","0","0","0"
"280","João Palhinha Gonçalves","50","MID","Fulham","0","520","0","514","0","546","0","192","0","false","0","Shoulder injury - Expected back 19 Aug","53","0","0","0","0","0","0","0","0","196","0","0","0","211","2023-08-06 23:30:05.777","202","0","0","J.Palhinha","0","1924","122","0","0","211","0.2","0","53","0","502","i","0","0","0","0","516","0","0","1924","0","0","0","385","","0","195","129","546","0","0","0","184","0","0","0"
"281","Tim Ream","45","DEF","Fulham","7","155","15.8","160","0","19","0","34","2.73","false","0","","4325","0","0","2.73","1","2","0","0","0","59","0","0","1","6","","330","0","0","Ream","1","727","81","0","1","6","0.5","1.6","4325","0","280","a","7","1.6","0","7","82","0","0","727","2","7","28","224","","1.6","53","51","19","0","0","0.6","121","0","1","90"
"282","Harrison Reed","50","MID","Fulham","3","102","13.2","77","0","69","2","37","2.73","false","0","","359","0","0.08","2.73","1","1.6","0","0","0.08","55","0","0","0","28","","201","0.08","0","Reed","1","2552","56","0","1","28","1","2.8","359","0.08","126","a","3","0.6","0","3","103","0","0","2552","1.6","3","13","170","","0.6","52","128","69","0","0","12.8","68","0","1","90"
"283","Antonee Robinson","45","DEF","Fulham","6","97","21.2","124","0","33","6","20","2.73","false","0","","3657","0","0.01","2.73","1","2","0","0","0.01","28","0","0","0","12","","375","0.01","0","Robinson","1","749","71","0","1","12","0.7","3","3657","0.01","88","a","6","1.3","0","6","58","0","0","749","2","6","25","200","","1.3","39","81","33","0","0","2.8","21","0","1","90"
"284","Marek Rodák","40","GKP","Fulham","0","238","0","221","0","285","0","35","0","false","0","","373","0","0","0","0","1","0","0","0","35","0","0","0","40","","582","0","0","Rodák","0","515","37","0","0","40","0.5","0","373","0","183","a","0","0","0","0","232","0","0","515","1","0","0","242","","0","24","52","285","0","0","0","23","0","0","0"
"285","Kenny Tete","45","DEF","Fulham","5","77","24.2","59","0","43","0","17","2.73","false","0","","1459","1","0.02","2.73","1","2","0","0","0.02","21","0","0","0","17","","371","0.02","0","Tete","1","695","72","0","1","17","0.7","4.1","1459","0.02","315","a","5","1.1","0","5","49","0","0","695","2","5","24","204","","1.1","13","78","43","0","0","16.6","142","0","1","90"
"286","Tosin Adarabioyo","45","DEF","Fulham","0","335","0","324","0","375","0","150","0","false","0","","35","0","0","0","0","2","0","0","0","148","0","0","0","151","","346","0","0","Tosin","0","295","175","0","0","151","0.1","0","35","0","292","a","0","0","0","0","330","0","0","295","2","0","0","456","","0","146","63","375","0","0","0","129","0","0","0"
"287","Carlos Vinícius Alves Morais","50","FWD","Fulham","0","566","0","560","0","577","0","56","0","false","0","","4597","0","0","0","0","1.4","0","0","0","57","0","0","0","63","","266","0","0","Vinícius","0","19736","15","0","0","63","4.2","0","4597","0","554","a","0","0","0","0","561","0","0","19736","1.4","0","0","83","","0","56","54","577","0","0","0","57","0","0","0"
"288","Harry Wilson","55","MID","Fulham","3","64","10.8","19","0","74","5","45","2.73","false","0","","438","0","0.2","2.73","1","2.1","0","0","0.2","35","0.07","0","0","31","","101","0.27","3","Wilson","1","580","103","0.07","1","31","0.2","4.9","438","0.27","97","a","3","0.5","0","3","116","0","0","580","2.1","3","13","340","3.0","0.5","13","62","74","0","0","32.9","55","0","1","90"
"558","Raúl Jiménez","55","FWD","Fulham","1","182","0","137","0","228","6","65","2.13","false","0","","2382","0","0.02","3.36","1","1.9","0","0","0.03","20","0.11","0","0","29","","89","0.09","0","Raúl","0","5844","31","0.07","0","29","1.2","0.6","2382","0.14","91","a","1","0.2","0","1","595","0","0","5844","1.9","1","-3","150","","0.2","15","28","228","0","0","1.8","18","0","1.58","57"
"591","Willian Borges da Silva","55","MID","Fulham","0","158","3","74","0","603","0","78","2.13","false","0","","647","1","0.04","4.26","1","2.1","0","0","0.08","74","0","0","0","246","","82","0.04","0","Willian","0","3324","66","0","0","246","0.6","1.6","647","0.08","585","a","0","0","0","0","172","0","0","3324","2.1","0","0","207","","0","50","50","603","0","0","13.2","235","0","2","45"
"610","Calvin Bassey","45","DEF","Fulham","0","396","0","388","0","438","0","184","0","false","0","","608","0","0","0","0","2","0","0","0","183","0","0","0","189","","439","0","0","Bassey","0","1349","94","0","0","189","0.4","0","608","0","369","a","0","0","0","0","390","0","0","1349","2","0","0","259","","0","183","125","438","0","0","0","177","0","0","0"
"625","Luc De Fougerolles","40","DEF","Fulham","0","308","0","292","0","353","0","133","0","false","0","","93","0","0","0","0","1","0","0","0","131","0","0","0","136","","657","0","0","De Fougerolles","0","124","192","0","0","136","0","0","93","0","256","a","0","0","0","0","303","0","0","124","1","0","0","526","","0","128","216","353","0","0","0","107","0","0","0"
"651","Jay Stansfield","45","FWD","Fulham","0","459","0","452","0","495","0","40","0","false","0","","159","0","0","0","0","1","0","0","0","42","0","0","0","53","","517","0","0","Stansfield","0","18","86","0","0","53","0","0","159","0","435","a","0","0","0","0","454","0","0","18","1","0","0","638","","0","41","83","495","0","0","0","42","0","0","0"
"652","Matthew Dibley-Dias","45","MID","Fulham","0","472","0","465","0","506","0","156","0","false","0","","31","0","0","0","0","1","0","0","0","160","0","0","0","180","","531","0","0","Dibley-Dias","0","4","277","0","0","180","0","0","31","0","449","a","0","0","0","0","467","0","0","4","1","0","0","655","","0","159","268","506","0","0","0","146","0","0","0"
"289","Adrián San Miguel del Castillo","40","GKP","Liverpool","0","213","0","195","0","261","0","21","0","false","0","","742","0","0","0","0","1.5","0","0","0","21","0","0","0","26","","556","0","0","Adrián","0","587","40","0","0","26","0.4","0","742","0","157","a","0","0","0","0","207","0","0","587","1.5","0","0","261","","0","9","37","261","0","0","0","8","0","0","0"
"290","Trent Alexander-Arnold","80","DEF","Liverpool","1","137","13.4","108","0","250","0","40","1.28","false","1","","26545","1","0.02","1.28","1","4.5","1","1","0.02","48","0","0","0","80","","12","0.02","0","Alexander-Arnold","0","18224","8","0","0","80","18.9","2","26545","0.02","654","a","1","0.1","0","1","98","0","0","18224","4.5","1","7","20","1.0","0.1","31","1","250","0","0","6.1","217","0","1","90"
"291","Alisson Ramses Becker","55","GKP","Liverpool","3","114","26.2","596","0","73","0","5","1.28","false","1","","16426","0","0","1.28","1","4.5","0","1","0","5","0","0","0","8","","91","0","0","Alisson","0","11462","8","0","0","8","9.4","2.6","16426","0","591","a","3","0.5","4","3","42","0","0","11462","4.5","3","16","40","","0.5","75","2","73","4","0","0","75","0","1","90"
"292","Stefan Bajcetic","50","MID","Liverpool","0","593","0","587","0","599","0","236","0","false","0","","230","0","0","0","0","2.1","0","0","0","240","0","0","0","243","","302","0","0","Bajcetic","0","485","173","0","0","243","0.1","0","230","0","581","a","0","0","0","0","588","0","0","485","2.1","0","0","488","","0","238","195","599","0","0","0","232","0","0","0"
"293","Darwin Núñez Ribeiro","75","FWD","Liverpool","1","168","2.2","148","0","249","8","18","0.24","false","0","","37137","0","0.02","0.9","0","2.9","0","0","0.08","16","0.15","0","0","34","","27","0.06","0","Darwin","0","56977","6","0.04","0","34","14.1","1.2","37137","0.23","81","a","1","0.1","0","1","183","0","0","56977","2.9","1","3","30","","0.1","16","11","249","0","0","1.3","15","0","0","24"
"294","Diogo Teixeira da Silva","80","MID","Liverpool","1","105","5.2","76","0","251","10","71","1.04","false","1","","7246","1","0.01","1.44","1","3.3","0","1.38","0.01","57","0.1","0","0","119","","14","0.08","0","Diogo J.","0","7136","38","0.07","0","119","3","2.8","7246","0.11","69","a","1","0.1","0","1","159","0","0","7136","3.3","1","3","104","","0.1","51","8","251","0","0","12.9","41","0","1.38","65"
"295","Harvey Elliott","50","MID","Liverpool","1","127","6.6","86","0","225","4","63","0.14","false","0","","547","0","0.01","0.97","0","2.1","0","0","0.07","63","0","0","0","102","","280","0.01","0","Elliott","0","1184","88","0","0","102","0.2","2.2","547","0.07","106","a","1","0.2","0","1","148","0","0","1184","2.1","1","6","310","","0.2","56","180","225","0","0","11.6","58","0","0","13"
"296","Fabio Henrique Tavares","50","MID","Liverpool","0","515","0","509","0","541","0","188","0","false","0","Permanent Transfer to Al-Ittihad","0","0","0","0","0","0","0","0","0","192","0","0","0","207","2023-08-01 09:50:49.848","191","0","0","Fabinho","0","371","243","0","0","207","0","0","0","0","496","u","0","0","0","0","510","0","0","371","0","0","0","599","","0","191","123","541","0","0","0","180","0","0","0"
"297","Cody Gakpo","75","FWD","Liverpool","2","132","8","91","0","157","2","14","1.04","false","1","","18906","0","0.05","1.44","1","2.9","0","1.38","0.07","15","0","0","0","22","","25","0.05","0","Gakpo","0","20980","10","0","0","22","6.7","2.1","18906","0.07","142","a","2","0.3","0","2","142","0","0","20980","2.9","2","5","54","","0.3","8","10","157","0","0","10.9","21","0","1.38","65"
"298","Joe Gomez","45","DEF","Liverpool","0","356","0","345","0","397","0","161","0","false","0","","801","0","0","0","0","2.5","0","0","0","159","0","0","0","164","","376","0","0","Gomez","0","1133","98","0","0","164","0.3","0","801","0","319","a","0","0","0","0","351","0","0","1133","2.5","0","0","266","","0","157","82","397","0","0","0","145","0","0","0"
"299","Jordan Henderson","50","MID","Liverpool","0","494","0","487","0","525","0","172","0","false","0","Permanent transfer to Al-Ettifaq","0","0","0","0","0","0","0","0","0","176","0","0","0","195","2023-07-28 08:28:45.116","160","0","0","Henderson","0","255","252","0","0","195","0","0","0","0","473","u","0","0","0","0","489","0","0","255","0","0","0","614","","0","175","101","525","0","0","0","163","0","0","0"
"300","Curtis Jones","50","MID","Liverpool","1","181","4.4","135","0","215","0","73","0.24","false","0","","247","0","0.01","0.9","0","2.1","0","0","0.04","84","0","0","0","94","","236","0.01","0","Jones","0","543","126","0","0","94","0.1","0.6","247","0.04","531","a","1","0.2","0","1","161","0","0","543","2.1","1","1","399","","0.2","77","154","215","0","0","1.8","206","0","0","24"
"301","Caoimhin Kelleher","40","GKP","Liverpool","0","251","0","234","0","298","0","39","0","false","0","","361","0","0","0","0","1.5","0","0","0","39","0","0","0","44","","595","0","0","Kelleher","0","573","42","0","0","44","0.3","0","361","0","196","a","0","0","0","0","245","0","0","573","1.5","0","0","273","","0","28","56","298","0","0","0","27","0","0","0"
"302","Ibrahima Konaté","50","DEF","Liverpool","2","103","25.2","161","0","118","2","15","1.28","false","1","","10324","0","0","1.28","1","2.8","0","1","0","30","0","0","0","42","","233","0","0","Konaté","0","4272","47","0","0","42","1.6","2.8","10324","0","128","a","2","0.4","0","2","47","0","0","4272","2.8","2","14","134","","0.4","54","25","118","0","0","0.6","40","0","1","90"
"303","Luis Díaz","75","MID","Liverpool","8","25","35","66","1","18","33","8","1.28","false","1","","33989","0","0.04","1.52","1","3.1","0","1.18","0.05","14","0.98","0","1","7","","26","0.87","0","Luis Díaz","0","7180","18","0.83","0","7","6.1","8.3","33989","1.03","28","a","8","1.1","0","8","20","0","0","7180","3.1","8","20","61","","1.1","44","15","18","0","0","14.8","11","0","1.18","76"
"304","Alexis Mac Allister","60","MID","Liverpool","1","110","13.4","71","0","244","0","35","1.28","false","1","","16204","1","0.22","1.28","1","2.7","0","1","0.22","59","0","0","0","116","","78","0.22","0","Mac Allister","0","25806","10","0","0","116","12.2","2.7","16204","0.22","636","a","1","0.2","0","1","96","0","0","25806","2.7","1","13","34","","0.2","47","48","244","0","0","13.5","266","0","1","90"
"305","Joel Matip","50","DEF","Liverpool","0","497","0","490","0","527","0","203","0","false","0","","619","0","0","0","0","2.8","0","0","0","202","0","0","0","203","","164","0","0","Matip","0","1055","108","0","0","203","0.3","0","619","0","476","a","0","0","0","0","492","0","0","1055","2.8","0","0","285","","0","202","16","527","0","0","0","199","0","0","0"
"306","Nathaniel Phillips","40","DEF","Liverpool","0","248","0","231","0","295","0","92","0","false","0","","547","0","0","0","0","1.5","0","0","0","91","0","0","0","98","","592","0","0","Phillips","0","846","112","0","0","98","0.3","0","547","0","193","a","0","0","0","0","242","0","0","846","1.5","0","0","296","","0","88","172","295","0","0","0","65","0","0","0"
"307","Andrew Robertson","65","DEF","Liverpool","2","79","25.8","79","0","150","2","12","1.28","false","1","","11031","0","0.01","1.28","1","3.6","0","1","0.01","23","0","0","0","46","","44","0.01","0","Robertson","0","6196","29","0","0","46","3.9","4","11031","0.01","141","a","2","0.3","0","2","43","0","0","6196","3.6","2","16","86","2.0","0.3","20","3","150","0","0","12.6","44","0","1","90"
"308","Mohamed Salah","125","MID","Liverpool","5","69","16.6","47","0","52","12","27","1.28","false","1","","52212","0","0.31","1.52","1","4.5","2","1.18","0.37","39","0.33","0","0","17","","3","0.59","2","Salah","0","11606","4","0.28","0","17","28.5","4.9","52212","0.7","62","a","5","0.4","0","5","77","1","0","11606","4.5","5","15","8","","0.4","31","1","52","0","0","20.1","38","0","1.18","76"
"309","Dominik Szoboszlai","70","MID","Liverpool","2","647","0","647","0","154","0","272","1.28","false","1","","7165","0","0.1","1.28","1","3","0","1","0.1","273","0.02","0","0","71","","35","0.12","0","Szoboszlai","0","10911","31","0.02","0","71","3.9","0","7165","0.12","646","a","2","0.3","0","2","646","0","0","10911","3","2","17","88","3.0","0.3","273","22","154","0","0","0","273","0","1","90"
"310","Thiago Alcántara do Nascimento","50","MID","Liverpool","0","498","0","491","0","528","0","174","0","false","0","","687","0","0","0","0","2.1","0","0","0","178","0","0","0","197","","165","0","0","Thiago","0","1543","86","0","0","197","0.3","0","687","0","477","a","0","0","0","0","493","0","0","1543","2.1","0","0","294","","0","177","103","528","0","0","0","165","0","0","0"
"311","Konstantinos Tsimikas","45","DEF","Liverpool","0","378","0","368","0","419","0","175","0","false","0","","173","0","0","0","0","2.5","0","0","0","174","0","0","0","179","","409","0","0","Tsimikas","0","453","156","0","0","179","0.1","0","173","0","343","a","0","0","0","0","372","0","0","453","2.5","0","0","408","4.0","0","173","106","419","0","0","0","162","0","0","0"
"312","Sepp van den Berg","40","DEF","Liverpool","0","286","0","270","0","332","0","119","0","false","0","Season long loan to Mainz 05","0","0","0","0","0","0","0","0","0","118","0","0","0","124","2023-07-17 06:21:35.145","631","0","0","Van den Berg","0","418","193","0","0","124","0","0","0","0","232","u","0","0","0","0","280","0","0","418","0","0","0","531","","0","115","199","332","0","0","0","92","0","0","0"
"313","Virgil van Dijk","60","DEF","Liverpool","2","120","20.8","167","0","143","3","22","1.28","false","1","","23523","0","0.02","1.28","1","3.4","0","1","0.02","39","0.03","0","0","44","","63","0.05","0","Virgil","0","12749","14","0.03","0","44","9.8","2.4","23523","0.05","114","a","2","0.3","0","2","60","0","0","12749","3.4","2","13","39","","0.3","59","4","143","0","0","0.5","32","0","1","90"
"626","Jarell Quansah","40","DEF","Liverpool","0","283","0","267","0","329","0","116","0","false","0","","122","0","0","0","0","1.5","0","0","0","115","0","0","0","121","","628","0","0","Quansah","0","133","195","0","0","121","0","0","122","0","229","a","0","0","0","0","277","0","0","133","1.5","0","0","540","","0","112","196","329","0","0","0","89","0","0","0"
"627","Bobby Clark","45","MID","Liverpool","0","464","0","457","0","499","0","149","0","false","0","","110","0","0","0","0","1.5","0","0","0","153","0","0","0","174","","522","0","0","Clark","0","84","242","0","0","174","0","0","110","0","440","a","0","0","0","0","459","0","0","84","1.5","0","0","598","","0","152","260","499","0","0","0","138","0","0","0"
"628","Ben Doak","45","MID","Liverpool","1","202","0.2","154","0","197","0","93","0.14","false","0","","388","0","0","0.97","0","1.5","0","0","0","98","0","0","0","83","","524","0","0","Doak","0","221","187","0","0","83","0.1","0.1","388","0","442","a","1","0.2","0","1","195","0","0","221","1.5","1","3","513","","0.2","86","262","197","0","0","0.8","140","0","0","13"
"629","James McConnell","45","MID","Liverpool","0","463","0","456","0","498","0","148","0","false","0","","69","0","0","0","0","1.5","0","0","0","152","0","0","0","173","","521","0","0","McConnell","0","78","247","0","0","173","0","0","69","0","439","a","0","0","0","0","458","0","0","78","1.5","0","0","609","","0","151","259","498","0","0","0","137","0","0","0"
"52","Marvelous Nakamba","45","MID","Luton","2","111","12.8","93","0","95","2","39","4.1","false","4","","3424","0","0.01","4.1","1","0.5","0","4","0.01","60","0.01","0","0","35","","386","0.02","0","Nakamba","0","3187","49","0.01","0","35","1.4","2.6","3424","0.02","116","a","2","0.4","0","2","105","0","0","3187","0","2","9","143","","0.4","59","212","95","0","0","10.8","64","0","1","90"
"314","Elijah Adebayo","50","FWD","Luton","2","530","0","524","0","117","0","47","1.55","false","1","","1970","0","0.09","2.21","1","0.9","0","1.43","0.13","48","0","0","0","17","","215","0.09","2","Adebayo","0","4444","32","0","0","17","1.1","0","1970","0.13","512","a","2","0.4","0","2","526","0","0","4444","0","2","5","159","","0.4","47","45","117","0","0","0","48","0","1.43","63"
"315","Mads Juel Andersen","40","DEF","Luton","0","254","0","237","0","301","0","96","2.34","false","2","","701","1","0","2.81","1","0.5","0","2.4","0","95","0","0","0","102","","598","0","0","Andersen","0","1709","68","0","0","102","0.8","0","701","0","199","a","0","0","0","0","248","0","0","1709","0","0","6","194","","0","92","176","301","0","0","0","69","0","1.2","75"
"316","Amari'i Bell","40","DEF","Luton","0","241","0","224","0","288","0","87","4.1","false","4","","3531","0","0","4.1","1","0.5","0","4","0","86","0","0","0","93","","585","0","0","Bell","0","12082","15","0","0","93","9","0","3531","0","186","a","0","0","0","0","235","0","0","12082","0","0","10","42","","0","83","167","288","0","0","0","60","0","1","90"
"317","Luke Berry","50","MID","Luton","1","500","0","493","0","205","0","176","1.22","false","1","","53","0","0","54.9","0","1.1","3","45","0","180","0","0","0","88","","169","0","0","Berry","0","400","163","0","0","88","0.1","0","53","0","479","a","1","0.2","0","1","495","0","0","400","0","1","3","469","","0.2","179","107","205","0","0","0","167","0","0","2"
"318","Reece Burke","40","DEF","Luton","0","239","0","222","0","286","0","86","0","false","0","Knock - Expected back 25 Aug","21","0","0","0","0","0","0","0","0","85","0","0","0","92","2023-08-04 11:00:04.302","583","0","0","Burke","0","270","194","0","0","92","0","0","21","0","184","i","0","0","0","0","233","0","0","270","0","0","0","537","","0","82","166","286","0","0","0","59","0","0","0"
"319","Allan Campbell","50","MID","Luton","0","539","0","533","0","557","0","207","0","false","0","","37","0","0","0","0","1.1","0","0","0","211","0","0","0","220","","225","0","0","Campbell","0","341","186","0","0","220","0.1","0","37","0","522","a","0","0","0","0","535","0","0","341","0","0","0","512","","0","210","148","557","0","0","0","200","0","0","0"
"320","Jordan Clark","50","MID","Luton","0","507","0","500","0","534","0","182","0","false","0","Ankle injury - Unknown return date","6","0","0","0","0","0","1","0","0","186","0","0","0","202","2023-08-06 23:30:05.803","179","0","0","Clark","0","183","250","0","0","202","0","0","6","0","487","i","0","0","0","0","502","0","0","183","0","0","0","612","2.0","0","185","115","534","0","0","0","174","0","0","0"
"321","Alfie Doughty","45","DEF","Luton","0","410","0","402","0","450","0","189","2.55","false","3","","87","0","0.02","8.83","0","1.5","2","10.38","0.07","188","0","0","0","192","","455","0.02","0","Doughty","0","762","139","0","0","192","0.2","0","87","0.07","383","a","0","0","0","0","404","0","0","762","0","0","2","357","1.0","0","188","132","450","0","0","0","182","0","0","26"
"322","Luke Freeman","50","MID","Luton","0","491","0","484","0","522","0","170","0","false","0","","18","0","0","0","0","1.1","0","0","0","174","0","0","0","193","","155","0","0","Freeman","0","168","224","0","0","193","0","0","18","0","470","a","0","0","0","0","486","0","0","168","0","0","0","568","4.0","0","173","98","522","0","0","0","161","0","0","0"
"323","Matt Macey","40","GKP","Luton","0","229","0","212","0","276","0","29","0","false","0","","261","0","0","0","0","0.5","0","0","0","29","0","0","0","34","","573","0","0","Macey","0","1089","29","0","0","34","0.7","0","261","0","174","a","0","0","0","0","223","0","0","1089","0","0","0","201","","0","18","46","276","0","0","0","17","0","0","0"
"324","John McAtee","45","FWD","Luton","0","416","0","408","0","456","0","29","0","false","0","","2341","0","0","0","0","0.5","0","0","0","32","0","0","0","44","","462","0","0","McAtee","0","9020","17","0","0","44","3.1","0","2341","0","389","a","0","0","0","0","410","0","0","9020","0","0","0","102","","0","31","72","456","0","0","0","32","0","0","0"
"325","Carlos Mendes Gomes","45","MID","Luton","0","435","0","428","0","471","0","132","0","false","0","Permanent transfer to Bolton Wanderers","0","0","0","0","0","0","0","0","0","136","0","0","0","157","2023-07-26 11:29:40.140","484","0","0","Mendes","0","262","235","0","0","157","0","0","0","0","409","u","0","0","0","0","430","0","0","262","0","0","0","586","","0","135","239","471","0","0","0","121","0","0","0"
"326","Carlton Morris","55","FWD","Luton","8","604","0","602","1","16","0","67","4.1","false","4","","4048","0","0.09","4.1","1","1.4","0","4","0.09","67","1.05","0","2","4","","103","1.14","1","Morris","0","3146","28","1.05","0","4","1.3","0","4048","1.14","598","a","8","1.5","0","8","600","0","0","3146","0","8","28","146","","1.5","66","30","16","0","0","0","67","0","1","90"
"327","Admiral Muskwe","45","FWD","Luton","0","359","0","348","0","401","0","20","0","false","0","","315","0","0","0","0","0.5","0","0","0","23","0","0","0","35","","380","0","0","Muskwe","0","853","52","0","0","35","0.3","0","315","0","322","a","0","0","0","0","354","0","0","853","0","0","0","303","","0","22","63","401","0","0","0","23","0","0","0"
"328","Chiedozie Ogbene","50","FWD","Luton","1","560","0","555","0","219","0","52","1.76","false","2","","223","0","0","11.31","0","0.9","0","12.86","0","53","0","0","0","28","","258","0","0","Ogbene","0","762","56","0","0","28","0.2","0","223","0","547","a","1","0.2","0","1","555","0","0","762","0","1","3","362","","0.2","52","50","219","0","0","0","53","0","0","14"
"329","Fred Onyedinma","50","MID","Luton","0","526","0","520","0","551","0","197","0","false","0","Season long loan to Rotherham","0","0","0","0","0","0","0","0","0","201","0","0","0","215","2023-07-31 07:05:08.472","211","0","0","Onyedinma","0","45","271","0","0","215","0","0","0","0","508","u","0","0","0","0","522","0","0","45","0","0","0","648","","0","200","137","551","0","0","0","189","0","0","0"
"330","Gabriel Osho","45","DEF","Luton","0","368","0","357","0","409","0","168","0","false","0","Knee injury - Expected back 25 Aug","4","0","0","0","0","0","0","0","0","166","0","0","0","171","2023-08-04 11:00:04.319","393","0","0","Osho","0","181","206","0","0","171","0","0","4","0","331","i","0","0","0","0","363","0","0","181","0","0","0","592","","0","164","93","409","0","0","0","152","0","0","0"
