"id","name","now_cost","position","team","points_per_game","ict_index_rank","influence","creativity_rank","goals_scored","points_per_game_rank","threat","influence_rank_type","expected_goals_conceded","in_dreamteam","goals_conceded","news","transfers_in_event","yellow_cards","expected_assists","expected_goals_conceded_per_90","starts","ep_this","direct_freekicks_order","goals_conceded_per_90","expected_assists_per_90","ict_index_rank_type","expected_goals_per_90","chance_of_playing_this_round","bonus","points_per_game_rank_type","news_added","now_cost_rank","expected_goal_involvements","penalties_order","web_name","clean_sheets","transfers_out","selected_rank_type","expected_goals","clean_sheets_per_90","form_rank_type","selected_by_percent","ict_index","transfers_in","expected_goal_involvements_per_90","threat_rank","status","form","value_season","saves_per_90","event_points","influence_rank","assists","dreamteam_count","transfers_out_event","ep_next","total_points","bps","selected_rank","corners_and_indirect_freekicks_order","value_form","creativity_rank_type","now_cost_rank_type","form_rank","saves","red_cards","creativity","threat_rank_type","chance_of_playing_next_round","starts_per_90","minutes"
"50","John McGinn","55","MID","Aston Villa","2","141","0.8","54","0","131","0","89","1.8","false","3","","677","0","0.03","2.57","1","1.6","0","4.29","0.04","67","0","0","0","55","","95","0.03","0","McGinn","0","1497","73","0","0","55","0.5","1.9","677","0.04","594","a","2","0.4","0","2","188","0","0","1497","2.1","2","6","229","2.0","0.4","38","56","131","0","0","18.1","238","0","1.43","63"
"51","Tyrone Mings","45","DEF","Aston Villa","0","125","3.6","75","0","385","5","63","1.08","false","2","Knee injury - 25% chance of playing","5756","0","0.16","3.24","1","1.5","0","6","0.48","43","0.03","0","0","158","2023-08-12 21:30:06.077","359","0.17","0","Mings","0","109134","12","0.01","0","158","12.6","2.2","5756","0.51","96","d","0","0","0","0","165","0","0","109134","0.5","0","5","33","","0","19","71","385","0","0","13","24","25","3","30"
"53","Robin Olsen","40","GKP","Aston Villa","0","228","0","211","0","275","0","28","0","false","0","","1091","0","0","0","0","0.5","0","0","0","28","0","0","0","33","","572","0","0","Olsen","0","1069","24","0","0","33","0.9","0","1091","0","173","a","0","0","0","0","222","0","0","1069","1","0","0","179","","0","17","45","275","0","0","0","16","0","0","0"
"54","Jaden Philogene-Bidace","45","MID","Aston Villa","1","195","0.4","174","0","192","2","91","0.65","false","1","","719","0","0","19.5","0","0.5","0","30","0","93","0","0","0","81","","504","0","0","Philogene","0","457","123","0","0","81","0.2","0.3","719","0","122","a","1","0.2","0","1","190","0","0","457","1","1","3","387","","0.2","92","252","192","0","0","0.3","66","0","0","3"
"55","Jacob Ramsey","60","MID","Aston Villa","0","639","0","639","0","639","0","266","0","false","0","Foot injury - Expected back 16 Sep","47","0","0","0","0","0","0","0","0","268","0","0","0","269","2023-07-25 12:00:03.978","76","0","0","J.Ramsey","0","1810","131","0","0","269","0.1","0","47","0","635","i","0","0","0","0","637","0","0","1810","0","0","0","407","","0","268","46","639","0","0","0","265","0","0","0"
"56","Morgan Sanson","45","MID","Aston Villa","0","344","0","333","0","383","0","100","0","false","0","Joined OGC Nice on a season-long loan","0","0","0","0","0","0","0","0","0","104","0","0","0","126","2023-07-26 11:26:30.137","357","0","0","Sanson","0","133","260","0","0","126","0","0","0","0","303","u","0","0","0","0","339","0","0","133","0","0","0","626","","0","102","203","383","0","0","0","87","0","0","0"
"57","Viljami Sinisalo","40","GKP","Aston Villa","0","274","0","258","0","320","0","49","0","false","0","Joined Exeter City on a season-long loan","0","0","0","0","0","0","0","0","0","49","0","0","0","54","2023-07-20 08:38:58.947","619","0","0","Sinisalo","0","45","73","0","0","54","0","0","0","0","220","u","0","0","0","0","268","0","0","45","0","0","0","635","","0","39","67","320","0","0","0","38","0","0","0"
"58","Youri Tielemans","60","MID","Aston Villa","1","142","3.4","73","0","241","2","77","2.2","false","3","","1499","0","0.09","4.4","0","1.7","0","6","0.18","68","0","0","0","113","","65","0.09","0","Tielemans","0","5225","50","0","0","113","1.2","1.9","1499","0.18","139","a","1","0.2","0","1","171","0","0","5225","2.2","1","3","153","","0.2","49","38","241","0","0","13.3","77","0","0","45"
"59","Bertrand Traoré","50","MID","Aston Villa","0","514","0","508","0","540","0","187","0","false","0","Muscle injury - Unknown return date","10","0","0","0","0","0","0","0","0","191","0","0","0","206","2023-08-10 15:00:05.039","187","0","0","Bertrand Traoré","0","419","228","0","0","206","0","0","10","0","495","i","0","0","0","0","509","0","0","419","0","0","0","577","","0","190","120","540","0","0","0","179","0","0","0"
"60","Ollie Watkins","80","FWD","Aston Villa","5","23","32.2","38","0","50","29","9","3.44","false","5","","55783","0","0.1","3.44","1","2.1","0","5","0.1","9","0.23","0","0","13","","13","0.33","1","Watkins","0","49004","3","0.23","0","13","25.8","8.5","55783","0.33","34","a","5","0.6","0","5","30","1","0","49004","2.6","5","18","13","","0.6","3","5","50","0","0","23.4","12","0","1","90"
"61","Wesley Moraes Ferreira da Silva","50","FWD","Aston Villa","0","549","0","543","0","566","0","49","0","false","0","Permanent transfer to Stoke","0","0","0","0","0","0","0","0","0","50","0","0","0","58","2023-07-31 07:08:09.572","241","0","0","Wesley","0","208","83","0","0","58","0","0","0","0","535","u","0","0","0","0","545","0","0","208","0","0","0","616","","0","49","47","566","0","0","0","50","0","0","0"
"584","Pau Torres","45","DEF","Aston Villa","0","412","0","404","0","452","0","190","2.36","false","3","","5411","0","0.02","3.6","0","1.5","0","4.58","0.03","189","0","0","0","193","","458","0.02","0","Pau","0","5247","35","0","0","193","2.7","0","5411","0.03","385","a","0","0","0","0","406","0","0","5247","2","0","12","110","","0","189","134","452","0","0","0","183","0","0","59"
